"PC1","PC2","Date","Coin"
-1.60685791930559,0.466018628509075,2020-07-06,"ETH"
-1.67978523831645,0.672345045432237,2020-07-07,"ETH"
-1.56388841322939,0.370891955809847,2020-07-08,"ETH"
-1.61115753453697,0.499503526591466,2020-07-09,"ETH"
-1.64711821979642,0.60068864555059,2020-07-10,"ETH"
-1.69089805455087,0.747808491247107,2020-07-11,"ETH"
-1.65613452290737,0.665497990097274,2020-07-12,"ETH"
-1.62015331181448,0.560590055581328,2020-07-13,"ETH"
-1.63928282181756,0.596170138191656,2020-07-14,"ETH"
-1.67913492218486,0.69787607883618,2020-07-15,"ETH"
-1.68491559919624,0.732014293496129,2020-07-16,"ETH"
-1.69597656548982,0.725110001891448,2020-07-17,"ETH"
-1.69785886819899,0.770222102960351,2020-07-18,"ETH"
-1.66700446663783,0.696298935180347,2020-07-19,"ETH"
-1.69936264043752,0.749232598507198,2020-07-20,"ETH"
-1.67989563165963,0.635031994402612,2020-07-21,"ETH"
-1.65282977752771,0.553610569592652,2020-07-22,"ETH"
-1.56027992100673,0.329686155483588,2020-07-23,"ETH"
-1.56021926730936,0.410550977232963,2020-07-24,"ETH"
-1.52600689149352,0.288491564503816,2020-07-25,"ETH"
-1.48250546734528,0.182636042756179,2020-07-26,"ETH"
-1.37211752092618,-0.140414130992794,2020-07-27,"ETH"
-1.45059123979266,0.158613319598133,2020-07-28,"ETH"
-1.48410742934798,0.293254993918151,2020-07-29,"ETH"
-1.45939435584181,0.20570149246259,2020-07-30,"ETH"
-1.47476298711865,0.178090089831087,2020-07-31,"ETH"
-1.39150643708602,0.00331671980496551,2020-08-01,"ETH"
-1.24749777896518,-0.425590225954188,2020-08-02,"ETH"
-1.4249660849441,0.111295078088341,2020-08-03,"ETH"
-1.38525058852331,0.000961555534640474,2020-08-04,"ETH"
-1.41299300711388,0.109746903826902,2020-08-05,"ETH"
-1.46000342965886,0.249594981878736,2020-08-06,"ETH"
-1.41206379176054,0.125457442593532,2020-08-07,"ETH"
-1.49268640904426,0.433281930100939,2020-08-08,"ETH"
-1.47781108638992,0.428452765567988,2020-08-09,"ETH"
-1.41929135675019,0.226945657426447,2020-08-10,"ETH"
-1.40574921253449,0.123698182308917,2020-08-11,"ETH"
-1.40518207875586,0.1607854529273,2020-08-12,"ETH"
-1.21858818410614,-0.379464582863789,2020-08-13,"ETH"
-1.28878528495916,-0.0662378344560007,2020-08-14,"ETH"
-1.34820322183925,0.176143924526117,2020-08-15,"ETH"
-1.37036942900071,0.192294675669974,2020-08-16,"ETH"
-1.36080401751581,0.0908082919874085,2020-08-17,"ETH"
-1.42203340853567,0.192864611069814,2020-08-18,"ETH"
-1.43788528178153,0.381195927756454,2020-08-20,"ETH"
-1.38461312956054,0.231547235811976,2020-08-21,"ETH"
-1.43095083050647,0.377734818803845,2020-08-22,"ETH"
-1.48144709906828,0.558269000983285,2020-08-23,"ETH"
-1.41529246406509,0.362380745236549,2020-08-24,"ETH"
-1.36159177396964,0.176443376694085,2020-08-25,"ETH"
-1.43171793303152,0.395133801187682,2020-08-26,"ETH"
-1.41998157558271,0.351124840272082,2020-08-27,"ETH"
-1.44046795694301,0.47509826536308,2020-08-28,"ETH"
-1.46557163418465,0.499203311041055,2020-08-29,"ETH"
-1.37978542075404,0.285024398183284,2020-08-30,"ETH"
-1.33607172393255,0.144716967144297,2020-08-31,"ETH"
-1.12193106779717,-0.387188637974665,2020-09-01,"ETH"
-1.11179390594108,-0.461177075283013,2020-09-02,"ETH"
-1.14660482531135,-0.460269816484945,2020-09-03,"ETH"
-1.21089348501486,-0.197902066056373,2020-09-04,"ETH"
-0.86150191145139,-1.36908779863948,2020-09-05,"ETH"
-0.903104012935912,-1.16402666762085,2020-09-06,"ETH"
-1.04784779664862,-0.631900049124731,2020-09-07,"ETH"
-1.16638245482821,-0.298387365299978,2020-09-08,"ETH"
-1.2503834058848,0.0116008949955297,2020-09-09,"ETH"
-0.797382527828916,-1.50301944633481,2020-09-10,"ETH"
-0.884451329170785,-1.12516130038684,2020-09-11,"ETH"
-1.2424227642905,0.134900502964789,2020-09-12,"ETH"
-1.20892778454444,-0.0202612236898195,2020-09-13,"ETH"
-1.14074957320788,-0.248552665474527,2020-09-14,"ETH"
-1.17676829730681,-0.121212981682352,2020-09-15,"ETH"
-1.19049744545864,-0.123263198865901,2020-09-16,"ETH"
-1.04615939008397,-0.450068570123336,2020-09-17,"ETH"
-1.22453825748725,0.0609345932245245,2020-09-18,"ETH"
-1.29833264988033,0.33807773281679,2020-09-19,"ETH"
-1.26398251247416,0.229006503387652,2020-09-20,"ETH"
-1.12731624807184,-0.224860162260035,2020-09-21,"ETH"
-1.2638575888722,0.188703848244342,2020-09-22,"ETH"
-1.25440430354299,0.178757319722973,2020-09-23,"ETH"
-1.16927557381245,-0.0738474053385304,2020-09-24,"ETH"
-1.19814675019767,0.0479043080287408,2020-09-25,"ETH"
-1.20872900835386,0.176455539905129,2020-09-26,"ETH"
-1.187413735631,0.129498520445512,2020-09-27,"ETH"
-1.20100800360692,0.0588544380442825,2020-09-28,"ETH"
-1.24712278631976,0.305961039906619,2020-09-29,"ETH"
-1.24736659301546,0.284097173877846,2020-09-30,"ETH"
-1.16815700138891,0.0294681697701359,2020-10-01,"ETH"
-1.17739605203912,0.0732238862452879,2020-10-02,"ETH"
-1.32822631599184,0.430780595624542,2020-10-03,"ETH"
-1.27284308935558,0.387298033442182,2020-10-04,"ETH"
-1.23687080256385,0.28970042910337,2020-10-05,"ETH"
-1.1874364713399,0.208394863164671,2020-10-06,"ETH"
-1.21819652865687,0.286508964112917,2020-10-07,"ETH"
-1.19480848406396,0.141329302741994,2020-10-08,"ETH"
-1.19119201708277,0.182376375881678,2020-10-09,"ETH"
-1.17078556771762,0.13203964425909,2020-10-10,"ETH"
-1.20512953268462,0.221574371473331,2020-10-11,"ETH"
-1.10900465263258,-0.0712815812922069,2020-10-12,"ETH"
-1.15140146103436,0.0772946738634688,2020-10-13,"ETH"
-1.16668697701879,0.102407781373213,2020-10-14,"ETH"
-1.12953887497637,0.012508965395015,2020-10-15,"ETH"
-1.13932273198245,0.0395593309610688,2020-10-16,"ETH"
-1.24148013054522,0.371724856299946,2020-10-17,"ETH"
-1.25579524466563,0.355417015582831,2020-10-18,"ETH"
-1.18651353595807,0.205417982330937,2020-10-19,"ETH"
-1.16179040450475,0.123398623430727,2020-10-20,"ETH"
