"PC1","PC2","Date","Coin"
-1.08362892140724,-1.36372324818229,2021-03-08,"BTC"
-1.15365838093578,-1.55231593384681,2021-03-09,"BTC"
-1.27246043666289,-1.78368227003782,2021-03-10,"BTC"
-1.26099677486414,-1.86304615964924,2021-03-11,"BTC"
-1.22201772873433,-1.81420101535699,2021-03-12,"BTC"
-1.3584148481853,-2.13879707038014,2021-03-13,"BTC"
-1.03165154983513,-1.5950250557036,2021-03-14,"BTC"
-1.43345667955187,-2.02368296003852,2021-03-15,"BTC"
-1.31266683420527,-1.89156330542478,2021-03-16,"BTC"
-1.34331146960029,-2.00692904820503,2021-03-17,"BTC"
-1.24648609863789,-1.83738904997249,2021-03-18,"BTC"
-1.13523147373901,-1.68248830699425,2021-03-19,"BTC"
-1.13519080409312,-1.72588877708461,2021-03-20,"BTC"
-1.15531705648893,-1.72938545486643,2021-03-21,"BTC"
-1.19466469716637,-1.70742391071519,2021-03-22,"BTC"
-1.18636619729356,-1.71755384668017,2021-03-23,"BTC"
-1.41766330503029,-2.00010767745101,2021-03-24,"BTC"
-1.34919215728035,-1.88125132869955,2021-03-25,"BTC"
-1.1451064448704,-1.75467271270294,2021-03-26,"BTC"
-0.958486114547192,-1.55060734469887,2021-03-27,"BTC"
-0.960333408805126,-1.56203875826644,2021-03-28,"BTC"
-1.16643618750906,-1.91496338199099,2021-03-29,"BTC"
-1.1242183278696,-1.88558815143763,2021-03-30,"BTC"
-1.33966954690649,-2.17957685301232,2021-03-31,"BTC"
-1.27988172851573,-2.08326079326086,2021-04-01,"BTC"
-1.1676672521165,-2.05023358460979,2021-04-02,"BTC"
-1.16973699814632,-1.98707090003497,2021-04-03,"BTC"
-1.00057698412955,-1.8106797530803,2021-04-04,"BTC"
-1.18404337868716,-2.0919427515498,2021-04-05,"BTC"
-1.28158103557419,-2.19030406343935,2021-04-06,"BTC"
-1.44845950086702,-2.33771270370663,2021-04-07,"BTC"
-1.04534737796519,-1.8491679796186,2021-04-08,"BTC"
-0.909374647365866,-1.67855782697169,2021-04-09,"BTC"
-1.13472694839822,-2.06500161205132,2021-04-10,"BTC"
-0.924151747703113,-1.7647595891672,2021-04-11,"BTC"
-1.02534842777047,-1.89701022779616,2021-04-12,"BTC"
-1.3839444351352,-2.56260993298183,2021-04-13,"BTC"
-1.50698276801348,-2.74506417511865,2021-04-14,"BTC"
-1.19841075006535,-2.31745129770826,2021-04-15,"BTC"
-1.61307264793825,-2.85918253062836,2021-04-16,"BTC"
-1.27136634245006,-2.33030085303858,2021-04-17,"BTC"
-1.82424290391341,-2.94140695160587,2021-04-18,"BTC"
-1.24383028921688,-2.05571083316511,2021-04-19,"BTC"
-1.35372668922819,-2.14618244740194,2021-04-20,"BTC"
-1.18250174105729,-1.65263671709708,2021-04-21,"BTC"
